transform,tau,coverage,recall_at1
bright,40.8948,0.0312,0.0312
bright,54.2017,0.0312,0.0312
bright,67.5086,0.0312,0.0312
bright,80.8155,0.0312,0.0312
bright,94.1224,0.0312,0.0312
bright,109.6996,0.0625,0.0625
bright,134.7363,0.0625,0.0625
bright,159.7731,0.0625,0.0625
bright,184.8098,0.0625,0.0625
bright,209.8466,0.0625,0.0625
bright,226.5464,0.0938,0.0625
bright,230.0460,0.0938,0.0625
bright,233.5456,0.0938,0.0625
bright,237.0452,0.0938,0.0625
bright,240.5449,0.0938,0.0625
bright,249.1683,0.1250,0.0625
bright,261.4922,0.1250,0.0625
bright,273.8161,0.1250,0.0625
bright,286.1400,0.1250,0.0625
bright,298.4639,0.1250,0.0625
bright,302.7521,0.1562,0.0625
bright,304.6966,0.1562,0.0625
bright,306.6411,0.1562,0.0625
bright,308.5856,0.1562,0.0625
bright,310.5300,0.1562,0.0625
bright,315.3573,0.1875,0.0625
bright,320.2806,0.1875,0.0625
bright,325.2039,0.1875,0.0625
bright,330.1273,0.1875,0.0625
bright,334.8143,0.2188,0.0625
bright,338.2730,0.2188,0.0625
bright,341.7316,0.2188,0.0625
bright,345.1902,0.2188,0.0625
bright,348.6488,0.2188,0.0625
bright,352.6816,0.2500,0.0625
bright,357.7583,0.2500,0.0625
bright,362.8350,0.2500,0.0625
bright,367.9116,0.2500,0.0625
bright,372.9883,0.2500,0.0625
bright,376.8502,0.2812,0.0625
bright,379.7115,0.2812,0.0625
bright,382.5728,0.2812,0.0625
bright,385.4342,0.2812,0.0625
bright,388.2955,0.2812,0.0625
bright,396.7432,0.3125,0.0625
bright,407.1340,0.3125,0.0625
bright,417.5249,0.3125,0.0625
bright,427.9157,0.3125,0.0625
bright,438.3065,0.3125,0.0625
bright,441.4121,0.3438,0.0625
bright,444.0153,0.3438,0.0625
bright,446.6184,0.3438,0.0625
bright,449.2216,0.3438,0.0625
bright,451.6453,0.3750,0.0625
bright,452.8579,0.3750,0.0625
bright,454.0704,0.3750,0.0625
bright,455.2829,0.3750,0.0625
bright,456.4954,0.3750,0.0625
bright,458.3703,0.4062,0.0625
bright,461.6361,0.4062,0.0625
bright,464.9019,0.4062,0.0625
bright,468.1677,0.4062,0.0625
bright,471.4335,0.4062,0.0625
bright,479.5964,0.4375,0.0625
bright,492.3502,0.4375,0.0625
bright,505.1040,0.4375,0.0625
bright,517.8579,0.4375,0.0625
bright,530.6117,0.4375,0.0625
bright,534.3782,0.4688,0.0625
bright,534.4681,0.4688,0.0625
bright,534.5580,0.4688,0.0625
bright,534.6479,0.4688,0.0625
bright,534.7378,0.4688,0.0625
bright,539.2300,0.5000,0.0625
bright,544.1939,0.5000,0.0625
bright,549.1579,0.5000,0.0625
bright,554.1218,0.5000,0.0625
bright,558.8667,0.5312,0.0625
bright,561.5672,0.5312,0.0625
bright,564.2677,0.5312,0.0625
bright,566.9682,0.5312,0.0625
bright,569.6687,0.5312,0.0625
bright,573.9236,0.5625,0.0625
bright,581.9783,0.5625,0.0625
bright,590.0330,0.5625,0.0625
bright,598.0876,0.5625,0.0625
bright,606.1423,0.5625,0.0625
bright,613.1932,0.5938,0.0625
bright,619.1733,0.5938,0.0625
bright,625.1535,0.5938,0.0625
bright,631.1336,0.5938,0.0625
bright,637.1138,0.5938,0.0625
bright,641.4443,0.6250,0.0625
bright,644.9893,0.6250,0.0625
bright,648.5343,0.6250,0.0625
bright,652.0793,0.6250,0.0625
bright,655.6242,0.6250,0.0625
bright,658.5711,0.6562,0.0625
bright,661.4294,0.6562,0.0625
bright,664.2876,0.6562,0.0625
bright,667.1459,0.6562,0.0625
bright,669.8217,0.6875,0.0625
bright,669.8524,0.6875,0.0625
bright,669.8831,0.6875,0.0625
bright,669.9138,0.6875,0.0625
bright,669.9445,0.6875,0.0625
bright,670.0703,0.7188,0.0625
bright,670.4694,0.7188,0.0625
