transform,tau,coverage,recall_at1
bright,25.0495,0.0312,0.0312
bright,26.0768,0.0312,0.0312
bright,27.1041,0.0312,0.0312
bright,28.1314,0.0312,0.0312
bright,29.1586,0.0312,0.0312
bright,30.4264,0.0625,0.0625
bright,32.6957,0.0625,0.0625
bright,34.9651,0.0625,0.0625
bright,37.2345,0.0625,0.0625
bright,39.5039,0.0625,0.0625
bright,40.9118,0.0938,0.0938
bright,40.9557,0.0938,0.0938
bright,40.9995,0.0938,0.0938
bright,41.0434,0.0938,0.0938
bright,41.0873,0.0938,0.0938
bright,41.3462,0.1250,0.1250
bright,41.7606,0.1250,0.1250
bright,42.1749,0.1250,0.1250
bright,42.5893,0.1250,0.1250
bright,43.0036,0.1250,0.1250
bright,43.4571,0.1562,0.1562
bright,43.9221,0.1562,0.1562
bright,44.3870,0.1562,0.1562
bright,44.8519,0.1562,0.1562
bright,45.3169,0.1562,0.1562
bright,45.4533,0.1875,0.1875
bright,45.5787,0.1875,0.1875
bright,45.7041,0.1875,0.1875
bright,45.8296,0.1875,0.1875
bright,45.9552,0.2188,0.2188
bright,46.0818,0.2188,0.2188
bright,46.2085,0.2188,0.2188
bright,46.3351,0.2188,0.2188
bright,46.4617,0.2188,0.2188
bright,47.0188,0.2500,0.2500
bright,48.3587,0.2500,0.2500
bright,49.6986,0.2500,0.2500
bright,51.0385,0.2500,0.2500
bright,52.3784,0.2500,0.2500
bright,53.0807,0.2812,0.2812
bright,53.2578,0.2812,0.2812
bright,53.4349,0.2812,0.2812
bright,53.6120,0.2812,0.2812
bright,53.7891,0.2812,0.2812
bright,54.6464,0.3125,0.3125
bright,55.7402,0.3125,0.3125
bright,56.8340,0.3125,0.3125
bright,57.9278,0.3125,0.3125
bright,59.0216,0.3125,0.3125
bright,59.1187,0.3438,0.3438
bright,59.1471,0.3438,0.3438
bright,59.1755,0.3438,0.3438
bright,59.2038,0.3438,0.3438
bright,59.5102,0.3750,0.3750
bright,61.6934,0.3750,0.3750
bright,63.8767,0.3750,0.3750
bright,66.0599,0.3750,0.3750
bright,68.2431,0.3750,0.3750
bright,70.0255,0.4062,0.4062
bright,70.9660,0.4062,0.4062
bright,71.9065,0.4062,0.4062
bright,72.8471,0.4062,0.4062
bright,73.7876,0.4062,0.4062
bright,74.3593,0.4375,0.4375
bright,74.5851,0.4375,0.4375
bright,74.8109,0.4375,0.4375
bright,75.0366,0.4375,0.4375
bright,75.2624,0.4375,0.4375
bright,75.4885,0.4688,0.4688
bright,75.7147,0.4688,0.4688
bright,75.9409,0.4688,0.4688
bright,76.1671,0.4688,0.4688
bright,76.3933,0.4688,0.4688
bright,76.8635,0.5000,0.5000
bright,77.3598,0.5000,0.5000
bright,77.8561,0.5000,0.5000
bright,78.3525,0.5000,0.5000
bright,79.3253,0.5312,0.5312
bright,84.7457,0.5312,0.5312
bright,90.1662,0.5312,0.5312
bright,95.5866,0.5312,0.5312
bright,101.0070,0.5312,0.5312
bright,106.0011,0.5625,0.5625
bright,109.9530,0.5625,0.5625
bright,113.9050,0.5625,0.5625
bright,117.8569,0.5625,0.5625
bright,121.8088,0.5625,0.5625
bright,124.3197,0.5938,0.5938
bright,125.2935,0.5938,0.5938
bright,126.2673,0.5938,0.5938
bright,127.2410,0.5938,0.5938
bright,128.2148,0.5938,0.5938
